name;description;year;category;genre;Top200;Top50;Icons;Top 80s;Top 90s;multiplayer;bios;sample
1943;1943: The Battle of Midway;1987;Shooter / Flying Vertical;Shooter;;;;x;;;;
aburner2;After Burner II;1987;Shooter / Flying (chase view);Shooter;x;;x;x;;;;
aliensyn;Alien Syndrome;1987;Maze / Shooter Large;Maze;x;;;x;;x;;
altbeast;Altered Beast;1988;Platform / Fighter Scrolling;Platform;x;;;x;;x;;
arabian;Arabian;1983;Platform / Run Jump;Platform;x;;;x;;;;
astdelux;Asteroids Deluxe;1980;Shooter / Field;Shooter;;;;x;;;;
berzerk;Berzerk;1980;Maze / Shooter Small;Maze;x;;x;x;;;;
bionicc;Bionic Commando;1987;Platform / Shooter Scrolling;Platform;;;;x;;;;
blktiger;Black Tiger;1987;Platform / Fighter Scrolling;Platform;x;;;x;;;;
bombjack;Bomb Jack;1984;Platform / Run Jump;Platform;x;;;x;;;;
bublbobl;Bubble Bobble;1986;Platform / Run Jump;Platform;;;x;x;;x;;
btime;Burger Time;1982;Platform / Run Jump;Platform;x;;x;x;;;;
cbtime;Burger Time;1983;Platform / Run Jump;Platform;;;;x;;;decocass;
cabal;Cabal;1988;Shooter / 3rd Person;Shooter;x;;x;x;;x;;
cadash;Cadash;1989;Platform / Fighter Scrolling;Platform;x;;;x;;x;;
chasehq;Chase H.Q.;1988;Driving / Race (chase view);Driving;x;;x;x;;;;
citycon;City Connection;1985;Platform / Run Jump;Platform;x;;;x;;;;
clshroad;Clash-Road;1986;Driving / Race Bike;Driving;x;;;x;;;;
commando;Commando;1985;Shooter / Walking;Shooter;;;x;x;;;;
contra;Contra;1987;Platform / Shooter Scrolling;Platform;;;;x;;x;;
crkdown;Crack Down;1989;Maze / Shooter Large;Maze;x;;;x;;x;;
defender;Defender;1980;Shooter / Flying Horizontal;Shooter;x;x;x;x;;;;
digdug;Dig Dug;1982;Maze / Digging;Maze;x;;x;x;;;;
dkong;Donkey Kong;1981;Platform / Run Jump;Platform;x;;x;x;;;;
dkongjr;Donkey Kong Junior;1982;Platform / Run Jump;Platform;x;;;x;;;;
ddragon;Double Dragon;1987;Fighter / 2.5D;Fighter;x;x;x;x;;x;;
ddragon2;Double Dragon II - The Revenge;1988;Fighter / 2.5D;Fighter;;;;x;;x;;
dspirit;Dragon Spirit;1987;Shooter / Flying Vertical;Shooter;;;;x;;;;
elevator;Elevator Action;1983;Platform / Shooter;Platform;;;x;x;;;;
fantzone;Fantasy Zone;1986;Shooter / Flying Horizontal;Shooter;x;;x;x;;;;
ffight;Final Fight;1989;Fighter / 2.5D;Fighter;x;x;x;x;;x;;
flicky;Flicky;1984;Platform / Run Jump;Platform;x;x;x;x;;;;
fshark;Flying Shark;1987;Shooter / Flying Vertical;Shooter;x;;;x;;;;
frogger;Frogger;1981;Maze / Cross;Maze;x;;x;x;;;;
gground;Gain Ground;1988;Shooter / Walking;Shooter;;;;x;;x;;
galaga;Galaga;1981;Shooter / Gallery;Shooter;;;x;x;;;;
galaga88;Galaga '88;1987;Shooter / Gallery;Shooter;x;;;x;;;;
gauntlet;Gauntlet;1985;Maze / Shooter Large;Maze;;;x;x;;x;;
gng;Ghosts'n Goblins;1985;Platform / Fighter Scrolling;Platform;;;x;x;;;;
ghouls;Ghouls'n Ghosts;1988;Platform / Fighter Scrolling;Platform;x;x;;x;;;;
goldnaxe;Golden Axe;1989;Fighter / 2.5D;Fighter;x;;x;x;;x;;
gberet;Green Beret;1985;Platform / Shooter Scrolling;Platform;x;;;x;;;;
gyruss;Gyruss;1983;Shooter / Flying (chase view);Shooter;x;;;x;;;;
joust;Joust;1982;Platform / Run Jump;Platform;x;;x;x;;x;;
junglek;Jungle King;1982;Platform / Run, Jump & Scrolling;Platform;;;;x;;;;
klax;Klax;1989;Puzzle / Drop;Puzzle;;;x;x;;x;;
kungfum;Kung-Fu Master;1984;Fighter / 2D;Fighter;;;x;x;;;;
locomotn;Loco-Motion;1982;Puzzle / Sliding;Puzzle;x;;;x;;;;
ldrun;Lode Runner;1984;Platform / Run Jump;Platform;x;;x;x;;;;
maniach;Mania Challenge;1986;Sports / Wrestling;Sports;;;;x;;x;;
mappy;Mappy;1983;Platform / Run Jump;Platform;x;;x;x;;;;
milliped;Millipede;1982;Shooter / Gallery;Shooter;x;;;x;;;;
mpatrol;Moon Patrol;1982;Shooter / Driving Horizontal;Shooter;;;x;x;;;;
docastle;Mr. Do's Castle;1983;Platform / Run Jump;Platform;x;;;x;;;;
mspacman;Ms. Pac-Man;1981;Maze / Collect;Maze;x;x;;x;;;;
myhero;My Hero;1985;Fighter / 2D;Fighter;;;;x;;;;
nemesis;Nemesis;1985;Shooter / Flying Horizontal;Shooter;x;;x;x;;;;
nspirit;Ninja Spirit;1988;Fighter / 2D;Fighter;x;x;;x;;;;
outrun;Out Run;1986;Driving / Race (chase view);Driving;x;x;x;x;;;;
pacmania;Pac-Mania;1987;Maze / Collect;Maze;x;;;x;;;;
pang;Pang;1989;Shooter / 3rd Person;Shooter;;;;x;;x;;
pdrift;Power Drift;1988;Driving / Race (chase view);Driving;x;;;x;;;;
punchout;Punch-Out!!;1984;Sports / Boxing;Sports;x;;x;x;;;;
qbert;Q*bert;1982;Platform / Run Jump;Platform;;;x;x;;;;qbert
qix;Qix;1981;Puzzle / Outline;Puzzle;x;;x;x;;;;
rtype;R-Type;1987;Shooter / Flying Horizontal;Shooter;;;x;x;;;;
rallyx;Rally X;1980;Maze / Driving;Maze;;;x;x;;;;rallyx
rampage;Rampage;1986;Platform / Fighter;Platform;;;;x;;x;;
rastan;Rastan;1987;Platform / Fighter Scrolling;Platform;x;;;x;;;;
robocop;Robocop;1988;Platform / Shooter Scrolling;Platform;x;;;x;;;;
rthunder;Rolling Thunder;1986;Platform / Shooter Scrolling;Platform;;;x;x;;;;
rygar;Rygar;1986;Platform / Fighter Scrolling;Platform;x;;x;x;;;;
salamand;Salamander;1986;Shooter / Flying;Shooter;x;;;x;;x;;
scramble;Scramble;1981;Shooter / Flying Horizontal;Shooter;;;x;x;;;;
secretag;Secret Agent;1989;Platform / Shooter Scrolling;Platform;x;;;x;;;;
shdancer;Shadow Dancer;1989;Platform / Fighter Scrolling;Platform;x;x;;x;;;;
shinobi;Shinobi;1987;Platform / Fighter Scrolling;Platform;;;x;x;;;;
solomon;Solomon's Key;1986;Puzzle / Maze;Puzzle;x;;;x;;;;
sharrier;Space Harrier;1985;Shooter / Flying (chase view);Shooter;x;;x;x;;;;
spelunkr;Spelunker;1985;Platform / Run, Jump & Scrolling;Platform;x;;;x;;;;
splatter;Splatter House;1988;Fighter / 2D;Fighter;x;;x;x;;;;
strider;Strider;1989;Platform / Fighter Scrolling;Platform;x;x;x;x;;;;
shangon;Super Hang-On;1987;Driving / Motorbike;Driving;;;;x;;;;
tapper;Tapper;1983;Platform / Run Jump;Platform;x;;;x;;;;
tbowl;Tecmo Bowl;1987;Sports / Football;Sports;x;;;x;;x;;
twcup90;Tecmo World Cup '90;1989;Sports / Soccer;Sports;;;;x;;;;
tmnt;Teenage Mutant Ninja Turtles;1989;Fighter / 2.5D;Fighter;;;;x;;x;;
atetris;Tetris;1988;Puzzle / Drop;Puzzle;;;x;x;;;;
tnzs;The NewZealand Story;1988;Platform / Run, Jump & Scrolling;Platform;x;;;x;;;;
timeplt;Time Pilot;1982;Shooter / Field;Shooter;x;;;x;;;;
toki;Toki;1989;Platform / Shooter Scrolling;Platform;x;;;x;;;;
trackfld;Track & Field;1983;Sports / Track & Field;Sports;;;x;x;;x;;
travrusa;Traverse USA / Zippy Race;1983;Driving / Motorbike;Driving;x;;;x;;;;
truxton;Truxton / Tatsujin;1988;Shooter / Flying Vertical;Shooter;;;;x;;;;
toutrun;Turbo Out Run;1989;Driving / Race (chase view);Driving;x;;;x;;;;
twincobr;Twin Cobra;1987;Shooter / Flying Vertical;Shooter;;;;x;;x;;
unsquad;U.N. Squadron;1989;Shooter / Flying Horizontal;Shooter;;;;x;;x;;
wboy;Wonder Boy;1986;Platform / Shooter Scrolling;Platform;;;x;x;;;;
yiear;Yie Ar Kung-Fu;1985;Fighter / Versus;Fighter;;;x;x;;;;
zaxxon;Zaxxon;1982;Shooter / Flying Diagonal;Shooter;x;x;x;x;;;;zaxxon
